"Greater Toronto, ON","Greater Vancouver, BC","Fairfield, CT","New York, NY","Nassau, NY","Queens, NY","Sussex, DE","Fulton, GA","Broward, FL","Miami-Dade, FL","Palm Beach, FL","Hillsborough, FL","Lee, FL","Sarasota, FL","Hennepin, MN","Lake, IL","Cook, IL","St. Louis, MO","Dallas, TX","Tarrant, TX","Harris, TX","Bexar, TX","Maricopa, AZ","Clark, NV","Los Angeles, CA","Orange, CA","Riverside, CA","San Diego, CA","King, WA"
934944.786029471,3760337.98118262,1279574.8859366,10814963.1447704,1561958.8947415,1345621.32898691,1231401.63458517,902526.42147477,1014504.73702348,1233217.40981219,705873.458480298,249878.763962595,29982.6939453885,521763.94169902,760616.818555305,173083.89766003,729414.279012775,437289.455328476,801508.988255211,430378.07715469,488119.89116902,311644.111594801,506336.822156535,164085.792330908,1774116.82795303,1794382.17526524,815181.832182456,679016.321144697,1270315.9794172
918944.786029471,672450.232858503,1677753.16454674,5688193.14475354,1232530.45737677,789422.578021784,592353.116477017,563591.242801743,737054.359161554,783314.668362776,537339.990894862,288501.314168783,431757.628841591,584252.060729113,760616.818555305,173083.89766003,729414.279012775,575762.656732111,634935.607200557,467191.795814591,516914.446157741,126047.818038714,613098.261506469,642648.355370105,106058.781445642,1426482.25913837,665416.519205623,601669.525636655,1142971.95549259
881506.196324851,2330647.99071583,1475309.37013515,6534733.14478734,654976.349558557,922562.482921552,826776.706127583,365512.70711382,719554.359161554,1451872.98037922,206357.673047204,994483.308508045,374286.832417438,596252.060729113,636331.467228265,462603.425090281,553009.85014174,575762.656732111,835802.554861023,468055.809450324,432604.336826629,294780.497498562,568511.008866556,566797.729816154,1999050.03994765,1884960.21630625,648316.519205623,436786.103832082,1072340.39903238
820824.491177161,1658733.82895444,1607960.1874317,4666423.14473664,777318.671369391,779472.10820682,826776.706127583,290256.037110349,703612.12032197,1536027.38616974,1047884.72242024,317480.468601771,-25122.0974333083,499773.94169902,636331.467228265,462603.425090281,553009.85014174,618310.733149975,860590.33917855,511267.507143871,432604.336826629,462315.357465359,511808.024537282,581447.780502312,1525170.93656409,1778125.6503141,59135.5838994249,689312.278454141,1133666.13061271
770725.491177161,1443440.5669434,1007114.35156138,7043193.14475354,979426.006077659,737415.862409628,254070.973820402,52753.5005161263,992935.806951238,1020677.63433494,85126.3854106448,302241.126265002,56334.4347819383,687846.764119034,173295.94352656,420334.70123862,787551.042611762,618310.733149975,811488.809973757,262993.455395064,388518.330896208,276361.854791005,416953.209473667,528212.694335843,1587077.93163915,1783419.15120023,650460.714599869,177759.649945748,1129471.15644929
964944.786029471,1099032.96703418,1642745.01073647,6514963.14477044,855062.765601897,1037489.01667709,542067.745264475,428511.672844313,237062.382214985,1731726.36582268,909855.283128665,447663.463716412,525111.175224293,477500.909609355,149474.800171473,420334.70123862,381879.513647531,549563.148579011,745103.141134355,246395.114570547,341969.400215937,263632.609734075,454375.340632546,-163446.537551961,1730113.33988243,1832058.6404271,147094.380005431,-232432.76412807,888551.976603271
914298.932688052,1540789.13185221,1695753.16454674,4230082.15584278,1172863.39005751,813735.906928867,634460.564831736,476847.661599647,580497.495416466,1224039.78042626,1147784.99548279,374734.733666423,53538.4163427014,56460.5353038218,488998.294730937,658569.331100202,424254.133257588,430634.656498255,769116.255493799,167848.528183177,341969.400215937,300069.513664948,477741.954718818,645698.986415514,2047070.17790842,742187.431994492,179399.217067809,906013.026324371,685055.209676964
834850.708592538,738561.935907605,421962.881775142,5514963.14477044,-134419.418962911,679448.462382995,377208.31148057,443521.558017288,620845.749230056,1347534.57317637,1003672.91052845,294678.936546164,-121573.446068509,470642.784327199,1105129.70682124,134787.211626591,424254.133257588,430634.656498255,697238.303231471,281760.901047241,370969.400215937,270808.843044139,474873.209704009,447366.702364347,604306.830854779,1811359.08329621,362957.612603261,921750.38291669,1183291.13061271
895415.17321414,2811398.44549374,819079.81981303,5419963.14477044,1247168.11836936,677493.558976063,377208.31148057,354463.224248573,587002.499664832,1323056.20278348,960398.803587548,377029.473247198,478056.676878477,-3494705.11792057,698103.346683037,134787.211626591,471263.261781217,539674.057831188,967160.336270667,606574.612881961,477322.742688298,323659.647184432,471773.153583426,425594.094547811,821340.859490425,2316183.16181488,354634.187786877,393723.4530762,680275.209676964
1047120.09095116,603919.726389554,1250943.52657227,4888193.14475354,554458.474817598,923709.305377064,359058.41857058,970111.383565538,1004504.73702348,872401.968088612,1123864.65210334,429659.01982327,314066.030259808,682967.204144833,234878.16813954,426650.481683213,471263.261781217,539674.057831188,1027978.07352104,357957.79931081,486966.764225959,278538.08810107,466404.180425853,260397.409016152,1643469.72166137,1864977.34399953,282419.82840113,899725.365054236,1184012.0942496
1386499.45502512,695767.713799705,1045540.46010049,6596733.14478734,1441752.71298671,993760.291684687,569287.895841097,625544.830733995,1009604.73702348,612094.651557361,2197.58723871736,560742.954456812,365374.342505601,730584.991243105,234878.16813954,426650.481683213,552871.372762787,401918.166335321,45042.8801596889,317637.442724115,506260.348307584,273525.278145124,487952.198602254,448658.211125975,2054379.20480703,817187.431994492,794566.718063339,812752.030326853,1154986.13061271
740725.491177161,529399.708775875,1478174.07758992,5643193.14475354,1155484.67670549,597251.189281857,569287.895841097,483993.465443726,752053.359161554,817411.09156862,1237032.4667572,510389.129655186,380787.993001856,549133.195284502,452383.887311984,526217.915514393,571215.95159196,401918.166335321,362162.762444204,285553.967475884,494264.11812411,247440.840834379,603774.585828935,-215737.575778,2077432.63864615,1752924.76457588,937364.526451957,1140470.8114127,1116999.39903238
866766.265546497,583714.66315281,411598.662780683,5069963.14477044,200004.094974064,783448.462382995,186534.800072723,750629.264148907,189666.702296797,867798.746216368,1061335.46764772,468709.281257805,206900.932748275,280102.03791268,-241514.667560982,143401.351303814,401481.498868117,333440.217769164,-5477.00784536958,181711.822962136,561595.939688712,288439.53273916,457777.376624389,472621.08124201,2114974.27161929,1417292.21986961,545996.875706171,3821722.8349505,1222640.13061271
1356875.76477286,1234219.41309607,1353165.96130477,5314963.14477044,1326761.20064846,845477.25898938,158046.694928438,435277.786765039,580718.556436892,1292282.47301053,874720.899607044,693978.130215,476491.145342035,620747.461907776,318572.473642423,405754.44706782,732220.12031998,-145680.138486265,469537.722678682,351539.72736356,561595.939688712,392238.085077682,442195.302046777,390704.206057359,2068289.16619615,1862351.69844412,1071706.76161713,1340850.03812893,1146491.95549259
1347446.15195752,613900.834901314,1422924.3985511,7141733.14478734,1327711.77712521,749448.462382995,158046.694928438,483415.749301693,660007.116073603,355512.360848326,959067.521546129,615131.965691411,-277560.339814456,640884.222012154,318572.473642423,243543.069376935,732220.12031998,306039.309403959,577094.490603753,319713.929560953,511674.447797432,310042.47621459,457837.6895038,576821.943543701,1315873.90315796,2342067.01182884,958824.094160803,1077995.68637552,1356290.5760716
839884.716807824,837248.95946816,345993.554604878,5885733.14478734,1125880.04141485,753448.462382995,494811.462962825,16772.6928392919,580778.990319555,750702.789942182,885193.063991579,470540.523053513,225996.560927707,688608.331915674,569140.315511777,243543.069376935,693165.210773128,306039.309403959,3242.43082120339,300788.34400957,511674.447797432,371316.499708322,410468.512494331,511060.360861562,1791625.03793081,1635197.58343583,829904.012308941,903067.718480503,1356290.5760716
1345975.76477286,720787.868570078,608958.169652315,6545733.14478734,884404.786923281,603448.462382995,323879.212906621,56823.326003807,690107.116073603,1431926.18568147,752234.921522616,562171.225422134,473893.242079894,146856.408838296,569140.315511777,530834.869918658,471095.921678946,347183.615500308,1034488.17372539,426961.883153742,484143.497219192,317738.633227807,538863.061059755,593475.426753568,1454658.40294083,1975802.16715049,671323.427729451,448854.972283132,1001232.25890077
1331969.84220979,11765884.686547,1799830.87764645,4354963.14477044,1405262.3225639,679563.735774142,219111.380232653,537505.407881995,670007.116073603,1421140.77540441,897693.063991579,555242.954456812,255838.119527103,822476.122273099,674617.968283662,530834.869918658,471095.921678946,639814.767717205,241165.50845015,508156.048647343,533815.175546868,358148.499708322,548863.061059755,584375.426753568,1747188.56417804,1697597.88238217,826536.49720029,1225872.65194092,596679.124927266
740725.491177161,599605.760981363,679266.127633512,4688193.14475354,1736318.35033976,647515.726935899,-317396.288417867,-183999.971386365,644163.428909167,1191535.45228229,958106.604628919,929670.950371199,741770.770607293,843376.122273099,46980.1992699126,366687.006436044,662326.643708787,569111.224996875,915288.963315305,557693.823946785,270304.786179637,349746.499708322,558863.061059755,516060.360861562,1593899.74074968,1785090.25025826,774365.081590413,1189832.86667292,1005105.15842599
869884.716807824,503088.81855873,1463860.95600806,4688193.14475354,1185633.24776472,897696.026342565,-317396.288417867,759023.55806333,962297.979697476,1282332.57805492,862490.451138732,437285.606459305,547149.497570213,847376.122273099,389059.723135169,366687.006436044,662326.643708787,341112.408481636,818940.337724608,469877.757038932,270304.786179637,334309.53273916,578863.061059755,599475.426753568,2122482.48159707,2323336.28773591,622900.124089151,1056464.22177205,1804896.89706637
1159452.23575565,1117945.75722863,1757359.68815875,4966423.14473664,882569.73232711,837738.145466253,412808.110166329,74009.7444737589,700163.428909167,973413.736490106,946634.440244385,552638.6038445,532882.401700898,348531.728264808,447932.671101293,1549368.44448181,449253.179349314,453915.70710082,769407.053966422,475225.608039439,226382.826917939,457344.846067526,615508.460803191,528319.218940319,1906467.13077317,1737944.75646114,663416.519205623,674365.999620523,1380770.02296268
730606.196324851,305302.284428444,1918933.79877655,5369963.14477044,1471230.5738747,679441.07306305,52241.9082941961,280669.377117291,678257.427726237,908380.132394369,1129613.82380238,531398.087109104,532382.401700898,947933.26672671,413751.945760018,1549368.44448181,112003.481774887,419335.351586692,839967.683040301,294518.118368967,525575.447797432,488315.357465359,475639.74371342,224940.323904047,1660355.05701912,1858301.47700956,647800.124089151,646174.102541776,1041280.92876119
1025415.17321414,255130.39138161,271566.658801724,4593193.14475354,835779.556933871,697456.612376337,52241.9082941961,71696.7430925191,927197.979697476,1362815.24919394,1105097.07405884,275937.715171592,532382.401700898,-311739.194692987,793014.546170925,466590.320795395,641215.43130593,575020.166861451,672509.010382455,227296.67479863,525575.447797432,262822.113804561,648801.37965263,581797.729816154,2167504.66641328,1684331.01641794,1097618.10612402,1069234.06856105,1268101.69281597
1033734.46806645,3402644.53292659,1131140.84049892,4966423.14473664,834816.09050058,947696.026342565,708242.256890096,526203.272660148,584101.823932726,1117821.4767909,916634.440244385,353236.764977906,732720.465737196,278064.58001956,231564.42794093,466590.320795395,641215.43130593,668670.866967504,787901.787398355,390074.097285056,546877.165490162,221669.292799816,638588.836446927,5376.25568915391,1051825.73497897,1770625.45471681,1097618.10612402,885805.898777903,989409.675171784
930044.786029471,2914944.21963311,1008529.35620244,11169963.1447704,787285.321701285,933797.260025815,228443.636695261,219598.499805319,-869477.341239625,1314998.74824529,1099697.07405884,556642.954456812,532382.401700898,636097.846523252,267612.837511565,427948.136485777,534818.978007004,274214.955831788,907735.398163434,508940.501822139,242864.452555178,506775.357465359,452525.283472929,483728.707218803,2223935.06120726,1333166.17173959,737903.953776343,742110.093138162,1226445.58276707
954944.786029471,654667.214261228,1332495.11592856,6341733.14478734,1247385.82965897,953823.861577618,2087754.30668725,523591.73132687,412769.322549012,1438876.08063708,947633.440244385,550187.843154088,510577.851535479,693595.476635527,414507.918524132,550624.348565052,177696.463069178,274214.955831788,696266.78436333,227731.793306628,523503.747460913,504527.357465359,616009.755937952,550897.729816154,1535480.35782242,1906932.64397161,641900.124089151,-757202.169063068,763781.61105299
1122515.17321414,1222200.79592122,1108730.74302182,6444733.14478734,1327991.6434307,583120.376577423,2884279.59926297,605012.686376518,515887.716626802,1327119.34457325,849386.582686285,462593.378839812,510577.851535479,1081244.70414542,-86315.790217004,439064.24748985,451385.236510017,370641.932587427,327550.705823822,344509.727941952,523503.747460913,460753.846067526,447238.750146479,368863.878074536,1947835.37530541,1773212.83677091,719228.423817736,677372.993037429,1162754.7101027
680725.491177161,1084978.37879176,1355991.56538814,6021733.14478734,1295139.01253213,1045693.76606378,662898.630384573,867273.180040544,860433.765972467,1129832.33468699,890634.440244385,447524.948796074,510577.851535479,1070244.70414542,231004.390519063,495863.54946759,784684.47907361,370641.932587427,461815.834003101,368114.176888598,458311.886571553,836808.049952645,514653.154266388,263085.132773851,2124670.32367948,1249125.7967745,-159561.19767602,959909.664439264,904813.342633325
1025415.17321414,404849.321849942,1078054.760853,-16411276.8554324,702339.289544869,1083789.13177388,1105430.00291957,485172.841414841,1434413.5686382,1117504.93525192,894634.440244385,335596.09596883,512577.851535479,254262.83647837,231004.390519063,495863.54946759,784684.47907361,629865.915359972,513509.509695972,240927.491208291,327673.767990343,290298.892241363,611117.124407317,525794.009858547,2208757.77140216,1299951.4020354,502621.183357772,642542.982726063,1119779.44072349
839684.716807824,180226.552446908,1208555.66575339,7468193.14475354,1125305.76087266,853552.651794224,1123474.88012729,196420.040482691,869802.170019304,1433202.10920852,615126.128820707,429111.568798583,494577.851535479,590747.461907776,735012.70214989,536866.387496739,731793.68743867,629865.915359972,193191.134489005,315051.113176032,245453.34391069,248137.964118691,467769.229395135,495877.134673897,956633.044152173,1655460.99869543,131292.415318352,1123961.06985136,1000194.53163128
879544.786029471,152895.50745939,1690804.80584451,6468193.14475354,1805256.37484192,943760.291684687,426100.603375904,246647.632990022,443440.335344418,1049902.54100954,736863.559853128,428279.835893856,530142.238297177,399526.640525655,533310.323873178,536866.387496739,731793.68743867,203970.705722001,959021.516341323,591385.911913809,138727.722735164,110469.443881819,1099206.79647826,457320.032878739,2139684.15274684,681382.405410726,441517.940817414,1301489.65148704,1133666.13061271
789661.716807824,2072736.90414548,1157231.35304892,8316423.14473664,1269872.17820871,1157737.40653426,426100.603375904,271233.161829854,690790.655012276,1424108.25821404,1129613.82380238,425416.00201694,365223.948463078,-383230.214369849,115113.078765572,976711.383240291,470859.023192642,408748.175939939,787704.938488297,403784.674240103,530745.927791741,479756.552627,591819.420674128,519859.785993769,1651595.93858093,1187788.02734954,443043.940817414,979183.54514875,680275.209676964
7100885.56039881,294011.548981672,1503862.27937779,5818193.14475354,275823.555722576,734354.356951684,165706.033169365,266658.003019345,968806.318596737,1039157.66284181,-480428.79086701,409606.2573178,621671.202002638,773329.978205313,284616.579698306,47162.6500335853,681198.236730217,408748.175939939,621402.242457384,243775.881506508,444815.316457478,292545.813734755,500169.720868323,584811.172477095,1626691.30083729,1720247.80487039,174399.217067809,1312036.0519889,971887.029715749
1349728.54550338,1573846.52097229,300391.795507412,7416423.14473664,847087.627608251,933626.566735079,165706.033169365,374191.777005019,946300.942967072,1324057.64721669,947633.440244385,684739.875617178,745329.387723183,932168.481850881,692307.275979115,47162.6500335853,681198.236730217,674720.737038227,1042372.92176058,411933.110712675,568002.273703763,454373.014827609,504979.582193774,568133.47553968,1482492.22057572,1245809.20391935,433217.940817414,813935.375568489,884288.61350946
900298.932688052,2239118.63924421,1438048.63993086,7216423.14473664,1666132.38773935,687519.421595872,925803.014390333,630471.099693044,976800.942967072,1042534.53818489,1047634.44024438,386864.204473162,397868.126997668,284279.577025468,692307.275979115,350785.339644659,397280.896856575,674720.737038227,1034755.57644489,357962.605230544,590303.121096756,409452.000870983,616818.420674128,479137.104262202,1239748.00033655,1241964.79145774,444599.227588245,1140981.35983277,1109103.95549259
680725.491177161,1187794.84189234,1308199.99886738,8316423.14473664,1405906.12885571,1204034.43545466,679771.210238637,548606.761631162,344790.621702331,1555175.4507804,-875101.158205268,555174.661958334,459509.688226628,756806.32761863,280487.897825067,339506.458216273,397280.896856575,557900.351586693,544832.883321856,434740.300668849,590303.121096756,199150.774074637,417950.268231752,541060.844494271,1932754.97285558,1251220.10029107,188841.217067809,894100.687594506,888551.976603271
746035.809140182,660751.897502511,1262236.75439861,10316423.1447366,1280496.80721922,1100491.29869728,712081.90561859,-431443.735301055,993642.893914145,1126985.74778869,699786.196402593,260824.995588432,889627.989897943,761606.32761863,648808.2115258,719868.692890558,432796.708223244,134472.181262702,302882.245365266,365399.477443759,582303.121096756,242659.904686295,519879.582193774,616358.274272252,52157.5166249217,845360.261955218,447111.227588245,1177413.02193934,1072340.39903238
966446.127103204,967583.079646723,1630025.04834852,7643193.14475354,1244764.54301099,839419.622293806,3231756.97687038,490500.211326231,182220.722648844,1208661.21426705,488894.074922302,446000.952458167,686569.982522248,759806.32761863,472138.712744748,205300.984233825,432796.708223244,134472.181262702,441660.197627594,349487.255784951,464638.712477884,102310.763025837,523326.325595343,-86358.5937295763,52157.5166249217,925101.769930348,822346.05827115,978008.495946423,909156.838805816
656134.809140182,1284746.02143381,1182775.17123542,12824772.1557921,895945.103316599,647456.612376337,1166165.52944851,548706.020041825,704476.664094485,673458.061363673,281391.490463132,539664.500609364,600010.907707018,756806.32761863,804247.024375575,205300.984233825,464481.698471694,629979.756558422,565652.321988429,229913.098679571,464638.712477884,165716.595777449,501782.288943608,154483.222108889,2098910.59960101,1321005.66096647,277339.922534428,609956.476793663,897527.556508313
1069922.62294032,560171.689891101,1220527.08486975,10824772.1557921,1386670.2402848,1025136.01495508,316428.222179628,686958.649316222,589599.45331705,1062994.5417157,950822.616504291,550074.661958334,448400.320378516,763445.551336889,822382.951765298,733214.005985188,464481.698471694,629979.756558422,1061835.08003925,263568.856416063,288709.192472193,292058.978075317,574586.663344336,692572.569097652,958930.602657208,1247218.6075197,415732.940817414,1076146.4743557,1184012.0942496
830406.196324851,754989.856615776,905383.861055812,21762883.1447028,1388723.60714948,699963.843800353,316428.222179628,802733.674671439,276133.215071565,967381.203674624,501094.074922302,475687.510939898,609171.368510272,931086.790460862,562952.800089698,642646.165337336,641068.277108191,391000.230332512,997474.508704435,227326.315016648,288709.192472193,200584.809199674,580811.911736071,502271.605423645,412743.618705706,1353005.66096647,432740.940817414,857105.827328087,569512.835595671
1579985.56039881,339849.596163331,1270999.95131758,9291423.14473664,1377476.18904374,985956.772143576,3331881.30808227,551473.710307658,345741.980057769,1386446.37314469,498894.074922302,718827.9768293,536426.922458407,1060009.15682319,-79801.1686163789,642646.165337336,641068.277108191,391000.230332512,1071835.08003925,142941.631333987,517072.888211245,518190.524598187,616779.958067852,458159.211125975,1858868.19628266,925101.769930348,687065.611737212,887105.827328087,844385.245586265
